school	major	degree	season	decision	gpa	status	GRE_AW	GRE_V	GRE_Quant
Arizona State University	Computer Science	Masters	Fall 2022	Accepted	3.5	International	4.5	160.0	170.0
University Of Massachusetts, Amherst	Biostatistics	PhD	Fall 2022	Rejected		International			
University Of Southern California	Public Policy	Masters	Fall 2022	Accepted		American			
UIUC	Physics	PhD	Fall 2022	Accepted	3.72	International			167.0
Princeton University	Mechanical And Aerospace Engineering	PhD	Fall 2022	Rejected	3.99	International			
University Of Maryland	Information Studies	PhD	Fall 2022	Rejected		International			
Washington University In St. Louis (WashU/WUSTL)	Epidemiology	PhD	Fall 2022	Rejected	3.8	International			
Brown University	Epidemiology	PhD	Fall 2022	Rejected	3.8	International			
University Of Toronto	Philosophy	PhD	Fall 2022	Accepted		International			
University Of Southern California	Computer Science	Masters	Fall 2022	Accepted	4.0	International	4.0	164.0	169.0
University Of Toronto	Philosophy	PhD	Fall 2022	Wait listed		International			
Brown University	Joukowsky Institute For Archaeology And The Ancient World	PhD	Fall 2022	Interview	3.54	American			
University Of Wisconsin-Madison	Materials Science And Engineering	PhD	Fall 2022	Accepted		International			
University Of Southern California	Computer Science	Masters	Fall 2022	Accepted	3.76	International			
University Of Illinois, Chicago (UIC)	Economics	PhD	Fall 2022	Wait listed		International			
Illinois Institute Of Technology	Computer Science	Masters	Fall 2022	Accepted	3.74	International		152.0	166.0
University Of California, Berkeley	Biostatistics MA Program	Masters	Fall 2022	Accepted	3.92	International	5.5	169.0	170.0
Carnegie Mellon University	Computer Science	Other	Fall 2022	Accepted	4.0	Other			
Northwestern University	Artificial Intelligence	Masters	Fall 2022	Accepted	3.42	International	4.0	154.0	161.0
School Of Visual Arts	Fine Art	MFA	Fall 2021	Interview	3.35	International			
Rice University	Sociocultural Anthropology	PhD	Fall 2022	Interview		International			
University Of Washington	Computer Science	PhD	Fall 2022	Rejected		International			
Johns Hopkins University	Computer Science	PhD	Fall 2022	Interview		International			
University Of Maryland	Information Studies	PhD	Fall 2022	Rejected		International			
Brown University	Physics	PhD	Fall 2022	Accepted	3.93	International			
University Of Maryland	Information Studies	PhD	Fall 2022	Rejected		International			
University Of Hartford	School Psychology	Masters	Fall 2022	Interview	3.8	American			
University Of California, San Diego	Physics	PhD	Fall 2022	Accepted	3.8	International			
University Of Toronto	Philosophy	Other	Fall 2022	Rejected		Other			
University Of Massachusetts, Amherst	Biostatistics	PhD	Fall 2022	Rejected		International			
University Of California, Berkeley	Sociology	PhD	Fall 2022	Rejected		International			
University Of Minnesota	Biomedical Engineering	PhD	Fall 2022	Interview		International			
University Of California, San Diego	Electrical And Computer Engineering	Masters	Fall 2022	Accepted	3.71	International			166.0
Video, New Media And Animation, School Of The Art Institute Of Chicago (SAIC)	Film	MFA	Fall 2022	Rejected		International			
Carnegie Mellon University	Fine Arts	MFA	Fall 2022	Interview		International			
California Institute Of The Arts	Experimental Animation	MFA	Fall 2022	Interview		International			
University Of Oregon	Chemistry	PhD	Fall 2022	Accepted	3.67	American			
University Of California, Santa Barbara	Statistics	PhD	Fall 2022	Accepted	3.69	International	4.5	168.0	170.0
University Of Wisconsin-Milwaukee	Physics	PhD	Fall 2022	Wait listed	4.0	International			
University Of Bristol	Economics	PhD	Fall 2022	Interview	4.0	International			
New School For Social Research	Psychology	Masters	Fall 2022	Accepted	3.47	American	3.5	152.0	154.0
Oxford University	Modern Middle Eastern Studies	Masters	Fall 2022	Rejected		International			
University Of Maryland	American Studies	PhD	Fall 2022	Accepted	3.1	American			
University Of Michigan (Ann Arbor)	Public Policy	Masters	Fall 2022	Accepted	3.97	American			
University Of Southern California	Computer Science	Masters	Fall 2022	Accepted	9.61		4.5	156.0	168.0
Big Knuts Univy	Deez Knuts	PhD	Fall 2022	Accepted	2.2	International			
McMaster University	Economics	PhD	Fall 2022	Accepted	3.58	International			
Harvard	Data Science	Masters	Fall 2022	Accepted	3.7	American			
University Of Massachusetts, Amherst	Computer Science	PhD	Fall 2022	Accepted	3.97	American		165.0	165.0
University Of California, Riverside	Physics	PhD	Fall 2022	Wait listed		International			
Wesleyan University	Astronomy	Masters	Spring 2022	Wait listed	3.68	International			
Vanderbilt University	Biostatistics	Masters	Fall 2022	Accepted	3.89	International			170.0
Brooklyn College	Law	JD	Fall 2022	Accepted	3.6	American			
Parsons	Transdisciplinary Dseign	MFA	Fall 2022	Accepted	3.46	International			
UIUC	Finance	PhD	Fall 2022	Accepted		International			
University Of Pennsylvania	Fine Arts	MFA	Fall 2022	Accepted		American			
University Of California, Irvine	Electrical Engineering	PhD	Fall 2022	Accepted		International			
University Of Southern California	Computer Science	Masters	Fall 2022	Accepted	9.6	International			
Columbia University	Management Science And Engineering	Masters	Fall 2022	Accepted		American	4.5	166.0	166.0
Stanford University	Management Science And Engineering	Masters	Fall 2022	Rejected		American	4.5	166.0	166.0
Cornell University	Engineering Management	Masters	Fall 2022	Accepted		American	4.5	166.0	166.0
California State University, Fullerton	Speech Language Pathology	Masters	Fall 2022	Accepted		American	4.5	165.0	156.0
University Of Oxford	Criminology	Other	Fall 2022	Accepted		Other			
George Washington University	Public Policy & Administration	PhD	Fall 2022	Accepted		American			
All	Economics	PhD	Fall 2022	Wait listed		International			
University Of Maryland	Organizational Behavior And Human Resource Management	PhD	Fall 2022	Rejected		International			
Aalto University	Collaborative And Industrial Design	Masters	Fall 2022	Rejected	2.9	International			
Pratt Institute	Industrial Design	MFA	Fall 2022	Accepted	2.9	International			
Parsons The New School For Design	Industrial Design	MFA	Fall 2022	Accepted	3.0	International			
The New School	Creative Writing	MFA	Fall 2022	Accepted		American			
University Of Pennsylvania	Architecture	Masters	Fall 2022	Accepted		International			
University Of Tennessee	Physics	PhD	Fall 2022	Interview		International	4.5	163.0	162.0
Idaho State University	Speech Language Pathology	Masters	Fall 2022	Accepted	3.84	American			
University Of Cambridge	Film And Screen Studies	Other	Fall 2022	Accepted	4.0	Other			
Queen Mary University London	Economics	PhD	Fall 2022	Wait listed		International			
University Of Illinois	Finance	PhD	Fall 2022	Wait listed		American			
University Of Illinois	Finance	Other	Fall 2022	Accepted		Other			
University Of California, Santa Cruz	Electrical And Computer Engineering	PhD	Fall 2022	Accepted	3.74	International			
Harvard University	History	PhD	Fall 2022	Rejected		American			
McGill University	Quantitative Life Sciences	PhD	Fall 2022	Accepted	3.74	International			
University Of Wisconsin-Madison	Philosophy	PhD	Fall 2022	Rejected	4.0	American			
Princeton University	Electrical And Computer Engineering	PhD	Fall 2022	Interview		American			
Harvard University	Art History	PhD	Fall 2022	Rejected	4.0	International			
Drexel University	Clinical Psychology	PhD	Fall 2022	Rejected		American			
Harvard University	History	PhD	Fall 2022	Rejected	3.92	International			
Duke University	History	PhD	Fall 2022	Rejected	3.92	International			
University Of Missouri-St. Louis (UMSL)	Clinical Psychology	PhD	Fall 2022	Wait listed	3.92	American			
York University	Political Science	Other	Fall 2022	Accepted		Other			
University Of Wisconsin-Madison	Philosophy	PhD	Fall 2022	Rejected	4.0	American			
University Of Pittsburgh	Social Work	Masters	Fall 2022	Accepted	3.79	American			
University Of Guelph	Clinical Psychology	Other	Fall 2022	Wait listed		Other			
University Of Texas At Austin	Education	PhD	Fall 2022	Accepted		American			
University Of Toronto	Law	PhD	Fall 2022	Rejected		International			
Penn State University	Philosophy	PhD	Fall 2022	Wait listed		International			
UC Santa Barbara	Music Composition	PhD	Fall 2022	Rejected		International			
Harvard University	Art History	PhD	Fall 2022	Rejected	4.0	American			
University Of Illinois	Mathematics	PhD	Fall 2022	Wait listed	3.98	American			
Cornell University	Information Science	PhD	Fall 2022	Wait listed		International			
University Of Colorado, Boulder	Applied Mathematics	PhD	Fall 2022	Accepted	3.98	American			
Harvard University	History	PhD	Fall 2022	Rejected		American			
Virginia Tech	Civil Engineering	Masters	Fall 2022	Accepted	3.25	International			
Drexel University	Clinical Psychology	PhD	Fall 2022	Rejected		American			
Harvard University	History	PhD	Fall 2022	Rejected		American			
University Of Michigan (Ann Arbor)	PIBS	PhD	Fall 2022	Accepted	3.9	American			
Harvard University	Art History	PhD	Fall 2022	Rejected	4.15	International			
Cornell University	Electrical And Computer Engineering	PhD	Fall 2022	Accepted	3.93	American			
North Carolina State University	Natural Resources	Masters	Fall 2022	Accepted	3.45	International	4.0	148.0	163.0
Lehigh University	English	Masters	Fall 2022	Accepted	3.92	American			
Regis College	Speech Language Pathology	Masters	Fall 2022	Accepted		American			
Clinical, And School Psychology, University Of California, Santa Barbara	Counseling	PhD	Fall 2022	Wait listed		American			
Harvard University	History	PhD	Fall 2022	Rejected		International			
University Of Notre Dame	English	PhD	Fall 2022	Interview		International			
Grand Valley State University	Speech Language Pathology	Masters	Fall 2022	Accepted	3.97	American			
University Of Connecticut	Clinical Psychology	PhD	Fall 2022	Rejected		American			
Harvard University	Art History	PhD	Fall 2022	Rejected		American			
Lewis & Clark College	School Psychology	Masters	Fall 2022	Accepted		American			
Georgia Institute Of Technology	Electrical And Computer Engineering	PhD	Fall 2022	Accepted		American			
University Of Georgia	Counseling Psychology	PhD	Fall 2022	Accepted		American			
Icahn School Of Medicine At Mount Sinai	Biomedical Sciences	PhD	Fall 2022	Interview	3.98	International			
University Of Florida	Materials Science And Engineering	PhD	Fall 2022	Accepted	4.0	American			
University Of Alabama At Birmingham	Psychology	PhD	Fall 2022	Interview	3.51	American			
Virginia Commonwealth University	BSDP	PhD	Fall 2022	Interview	4.0	American			
University Of Southern California	Health Behavior Research	PhD	Fall 2022	Accepted	3.75	American			
University Of California, San Diego	Computer Science	PhD	Fall 2022	Accepted	3.74	American			
University Of Central Florida	Clinical Psychology	PhD	Fall 2022	Interview	3.6	American			
Stanford University	Neuroscience	PhD	Fall 2022	Interview	3.86	American			
University Of California, Berkeley	Chemistry	PhD	Fall 2022	Accepted		International			
UNC Chapel Hill	Art History	PhD	Fall 2022	Interview		International			
University Of California, Irvine	Education	PhD	Fall 2022	Interview	4.0	International			
PIBBS, University Of Southern California	Programs In Biomedical And Biological Sciences	PhD	Fall 2022	Interview		International			
Georgia Institute Of Technology	Biomedical Engineering	PhD	Fall 2022	Interview	3.9	International			
Drexel University	Clinical Psychology	PhD	Fall 2022	Interview		American			
University Of Central Florida	Clinical Psychology	PhD	Fall 2022	Interview	3.91	American			
University Of California, Berkeley	Chemistry	PhD	Fall 2022	Rejected	3.67	International			
University Of California, Riverside	Microbiology	PhD	Fall 2022	Interview	3.94	American			
Oklahoma State University	Management	PhD	Fall 2022	Interview		American			
University Of Arizona	Plant Science	PhD	Fall 2022	Interview	3.94	American			
Michigan State University	BioMolecular Sciences	PhD	Fall 2022	Interview	3.94	American			
Vanderbilt University	Human Development Studies	Masters	Fall 2022	Interview	3.76	International			
University Of Central Florida	Clinical Psychology	PhD	Fall 2022	Interview		American			
University Of Chicago	Pure Mathematics	PhD	Fall 2022	Accepted	3.95	American			
University Of Connecticut	Clinical Psychology	PhD	Fall 2022	Interview					
University Of Central Florida	Clinical Psychology	PhD	Fall 2022	Interview		American			
Harvard School Of Public Health	Biostatistics	PhD	Fall 2022	Interview	4.0	American	5.0	169.0	166.0
University Of Houston	Clinical Psychology	PhD	Fall 2022	Interview	4.0	American			
Weill Cornell	Neuroscience	PhD	Fall 2022	Interview	3.96	International			
University Of Louisville	Microbiology And Immunology	PhD	Fall 2022	Interview		American			
University Of Washington	Biology	PhD	Fall 2022	Rejected	3.16	International			
Columbia University	Genetics And Development	PhD	Fall 2022	Interview	3.96	International			
Yale University	Neuroscience	PhD	Fall 2022	Interview	3.96	International			
University Of Wisconsin-Madison	Epidemiology	PhD	Fall 2022	Accepted	3.52	American			
University Of Texas At Austin	Music And Human Learning	Masters	Fall 2021	Accepted		American			
University Of Vermont	Clinical Psychology	PhD	Fall 2022	Interview		American			
University Of Alabama	Clinical Psychology	PhD	Fall 2022	Interview		American			
Massachusetts Institute Of Technology (MIT)	Chemical Engineering	PhD	Fall 2022	Interview		International			
University Of Southern Mississippi	Clinical Psychology	PhD	Fall 2022	Interview		American			
University Of California, Irvine	Ecology And Evolutionary Biology	PhD	Fall 2022	Interview	3.12	American			
Albert Einstein College Of Medicine	Neuroscience	PhD	Fall 2022	Interview		American			
University Of Illinois At Urbana Champaign	Curriculum&Instruction(DELTA)-MS	Masters	Fall 2022	Accepted		International			
Columbia University	Computer Science	PhD	Fall 2022	Wait listed		International			
University Of Washington	Computational Linguistics	Masters	Fall 2022	Accepted	3.72	International			
Paris School Of Economics	Economics	PhD	Fall 2022	Wait listed		International			
Paris School Of Economics	Public Policy And Development	PhD	Fall 2022	Wait listed		International			
University Of South Carolina	Computer Science	PhD	Fall 2022	Rejected	3.86	International			
SUNY Stony Brook	Computer Science	Masters	Fall 2022	Accepted	3.7	International	4.5	160.0	169.0
University Of Toronto	Nursing	Other	Fall 2022	Accepted		Other			
University Of Maryland	Robotics	Masters	Fall 2022	Accepted	3.51	International			
Northeastern University	Robotics	Masters	Fall 2022	Accepted	3.51	International			
Pittsburg State University	History	Masters	Spring 2022	Accepted	2.65	American			
Portland State University	Conflict Resolution	Masters	Fall 2022	Rejected		International			
Portland State University	Conflict Resolution	Masters	Fall 2022	Accepted		International			
University Of California, Los Angeles	Mechanical Engineering	PhD	Fall 2022	Accepted		International			
University Of Toronto	OISE EDD APHD	Other	Fall 2022	Wait listed		Other			
University Of Oxford	Medical Anthropology	Masters	Fall 2022	Accepted	3.8	International			
University Of Southern California	Computer Science	Masters	Fall 2022	Accepted	3.86	International	5.0	159.0	170.0
University Of Maryland	Mathematics	PhD	Fall 2022	Rejected		International			
University Of Southern California	Computer Science	Masters	Fall 2022	Accepted	9.15	International	4.0	155.0	170.0
SUNY Stony Brook	Computer Science	Masters	Fall 2022	Accepted	3.58	International	4.0	152.0	166.0
Generic Message	Physics	Other	Fall 2022	Wait listed		Other			
University Of Michigan (Ann Arbor)	Mechanical Engineering	PhD	Fall 2022	Rejected		International			
Stanford University	Mechanical Engineering	PhD	Fall 2022	Rejected		International			
Simon Fraser University	Economics	PhD	Fall 2022	Wait listed		International			
Georgia Institute Of Technology	Computer Science	Masters	Fall 2022	Accepted	3.65	International	3.5	154.0	167.0
Georgia Institute Of Technology	Computer Science	Masters	Fall 2022	Accepted	3.65	International	3.5	154.0	167.0
University Of New Mexico	Physics	PhD	Fall 2022	Rejected		International			
University Of Notre Dame	History	PhD	Fall 2022	Accepted	3.93	American			
University Of Massachusetts, Amherst	Art History	Masters	Fall 2022	Rejected	3.9	American			
University Of California, Los Angeles	Electrical And Computer Engineering	Masters	Fall 2022	Accepted	8.72	International	5.0	164.0	169.0
University Of Washington	Physics	PhD	Fall 2022	Rejected		International			
University Of Notre Dame	Physics	PhD	Fall 2022	Rejected	3.8	International			
CSU East Bay	Speech Language Pathology	Masters	Fall 2022	Accepted	3.82	American			
Northwestern University	Computer Science	PhD	Fall 2022	Rejected	3.3	International			
Texas A&M University - College Station (TAMU)	Statistics	PhD	Fall 2022	Accepted		International			
University Of California, Merced	QSB	Masters	Fall 2022	Rejected	3.4	American			
University Of Pennsylvania	Robotics	Masters	Fall 2022	Wait listed		International	4.0		167.0
George Mason University	Writing And Rhetoric	PhD	Fall 2022	Interview		American			
University Of Texas At Austin	Astronomy	PhD	Fall 2022	Wait listed		International			
University Of Cincinnati	English	PhD	Fall 2022	Interview		American			
University Of Michigan (Ann Arbor)	Masters In International And Regional Studies	Masters	Fall 2022	Accepted	3.98	American			
Yale University	East Asian Languages And Cultures	PhD	Fall 2022	Rejected		International			
University Of Maine	Anthropology & Environmental Policy	PhD	Fall 2022	Wait listed	3.98	American			
Harvard University	East Asian Languages And Cultures	PhD	Fall 2022	Rejected		International			
SUNY Albany	Biomedical Sciences	PhD	Fall 2022	Accepted	3.9	American			
University Of Maryland	Astronomy	PhD	Fall 2022	Rejected		American			
University Of Texas At Austin	Physics	PhD	Fall 2022	Wait listed		International			
Arizona State University	Economics	PhD	Fall 2022	Rejected		International			
Washington University in St. Louis (WashU/WUSTL)	Anthropology	PhD	Fall 2022	Rejected		American			
Washington University In St. Louis (WashU/WUSTL)	Anthropology	PhD	Fall 2022	Rejected		American			
University Of California, Berkeley	Master Of Information Management & Systems (MIMS)	Masters	Fall 2022	Rejected	3.6	International	5.0	165.0	167.0
University Of Chicago	Middle Eastern Studies	PhD	Fall 2022	Accepted	4.0	American			
Brandeis University	Public Policy	Masters	Fall 2022	Accepted	3.8	American			
University Of Michigan (Ann Arbor)	SEAS	Masters	Fall 2022	Accepted	3.76	International			
Purdue University	Anthropology	PhD	Fall 2022	Interview	3.9	American			
Rutgers Universityâ€“New Brunswick	English	PhD	Fall 2022	Wait listed		American			
Rutgers Universityâ€“New Brunswick	English	PhD	Fall 2022	Wait listed	3.9	American			
University Of Texas At Dallas	Marketing	PhD	Fall 2022	Rejected		American			
University Of Memphis	Epidemiology	PhD	Fall 2022	Accepted		American			
Brown University	Biostatistics	PhD	Fall 2022	Rejected		American			
University Of Massachusetts Boston	Mental Health Counseling	Masters	Spring 2022	Interview	3.5	American			
Elmhurst College	Speech Language Pathology	Other	Fall 2022	Wait listed		Other			
Arizona State University	Speech Language Pathology	Masters	Fall 2022	Interview	4.0	American			
Eastern Washington University	Speech Language Pathology	Masters	Fall 2022	Interview	4.0	American			
Washington State University	Speech Language Pathology	Masters	Fall 2022	Interview	4.0	American			
Rensselaer Polytechnic Institute	Geology	Masters	Fall 2022	Accepted	3.75	American			
Oregon State University	Creative Writing Poetry	MFA	Fall 2022	Accepted	3.7	American			
Washington University in St. Louis (WashU/WUSTL)	Anthropology	PhD	Fall 2022	Rejected	3.7	International			
Washington University in St. Louis (WashU/WUSTL)	Anthropology	PhD	Fall 2022	Rejected		International			
University Of California, Santa Cruz	Economics	PhD	Fall 2022	Accepted		International	4.0	164.0	170.0
Arizona State University	Economics	PhD	Fall 2022	Rejected		International	4.0	164.0	170.0
Kean University	Speech Language Pathology	Masters	Fall 2022	Interview	3.89	American			
Johns Hopkins University	Computer Science	PhD	Fall 2022	Accepted		International			
University Of Texas At Austin	Cell And Molecular Biology	PhD	Fall 2022	Accepted		International			
Emory University, Candler School Of Theology	Theological Studies (MTS)	Masters	Fall 2022	Accepted	3.65	American			
SUNY Stony Brook	Speech Language Pathology	Masters	Fall 2022	Interview	3.67	American	5.0	145.0	147.0
Washington University in St. Louis (WashU/WUSTL)	Anthropology	PhD	Fall 2022	Rejected	3.0	International	3.0	148.0	312.0
Columbia University	Social Work	Masters	Fall 2022	Accepted	3.85	American			
University Of Western Ontario	Anthropology	Other	Fall 2022	Rejected		Other			
Penn State University	Physics	PhD	Fall 2022	Accepted		International	3.0	155.0	170.0
University Of Washington	Environmental & Occupational Health	PhD	Fall 2022	Rejected		American			
Brown University	Biostatistics	PhD	Fall 2022	Accepted		International			170.0
University Of Wisconsin-Madison	Computer Science	Masters	Fall 2022	Rejected	3.75	International			167.0
Tufts University	Immunology	PhD	Fall 2022	Interview	3.8	American			
Princeton University	Geosciences	PhD	Fall 2022	Accepted	3.69	American			
University Of Southern Mississippi	Counseling Psychology	PhD	Fall 2022	Wait listed		American			
University Of California, Irvine	Data Science	Masters	Fall 2022	Accepted	3.63	American			
Florida State University (FSU)	Physics And Astronomy	PhD	Fall 2022	Accepted	3.6	International	3.0	151.0	162.0
University Of Wisconsin-Madison	Computer Science	PhD	Fall 2022	Rejected	4.0	International	3.5	153.0	168.0
California State University Long Beach	Social Work	Masters	Fall 2022	Accepted		American			
University Of Wisconsin-Madison	Computer Science	Masters	Fall 2022	Rejected		International			
Emory University	Public Health: BSHES	PhD	Fall 2021	Accepted	4.0	American			
Washington University In St. Louis (WashU/WUSTL)	Political Science	PhD	Fall 2022	Accepted		International			
City University Of New York (CUNY)	Cognitive & Comparative Psychology	PhD	Fall 2022	Wait listed	3.86	American			
Yell University	Economics	PhD	Fall 2022	Accepted		American			
University Of Wisconsin-Madison	Computer Science	PhD	Fall 2022	Rejected		International			
University Of Wisconsin-Madison	Computer Science	Masters	Fall 2022	Rejected	3.63	International	5.0	164.0	170.0
University Of Cambridge	Asian And Middle Eastern Studies	PhD	Fall 2022	Accepted		American			
University Of Maryland	Counseling Psychology	PhD	Fall 2022	Rejected		International			
University Of Oxford	Engineering Science	PhD	Fall 2022	Accepted	3.5	International			
University Of Wisconsin-Madison	Computer Science	Masters	Fall 2022	Rejected	3.6	International			
City University Of New York (CUNY)	English	PhD	Fall 2022	Rejected	3.73	International			
IST Austria	Biology	PhD	Fall 2022	Rejected		International			
City University Of New York (CUNY)	English	PhD	Fall 2022	Rejected	3.84	American			
University Of Wisconsin-Madison	Pharmaceutical Sciences	PhD	Fall 2022	Rejected	3.75	International			
Teachers College	Clinical Psychology	PhD	Fall 2022	Interview		American			
University Of Southern California	Urban Planning And Development	PhD	Fall 2022	Accepted	3.4	International	4.0	167.0	167.0
Western Washington University	Audiology	Other	Fall 2022	Interview	3.95	American			
Arizona State University	Civil And Environmental Engineering	Masters	Fall 2022	Accepted	3.8	International	4.0	160.0	165.0
Creative Writing Stream, University Of New Brunswick	English	Masters	Fall 2022	Accepted		International			
University Of California, Los Angeles	Digital Media Arts DMA	Masters	Fall 2022	Interview		International			
Illinois Institute Of Technology	Applied Mathematics	PhD	Fall 2022	Interview	3.57	American	5.0	170.0	169.0
University Of Houston	Civil Engineering	Masters	Fall 2022	Accepted	3.8	International	4.0	160.0	165.0
Washington University In St. Louis (WashU/WUSTL)	Political Science	PhD	Fall 2022	Accepted		International			
Genomics, And Development, Cornell University	Genetics	PhD	Fall 2022	Interview	3.59	International			
Washington University In St. Louis (WashU/WUSTL)	Political Science	PhD	Fall 2021	Accepted	3.9	International			170.0
Purdue University - West Lafayette	Civil Engineering	Masters	Fall 2022	Accepted	3.8	International	4.0	160.0	165.0
Michigan State University	Civil Engineering	Masters	Fall 2022	Accepted	3.8	International	4.0	160.0	165.0
Yale, NYU, BU, Cornell	Economics	PhD	Fall 2022	Accepted	4.0	American	5.0	170.0	170.0
Yale University	Chemical Engineering	PhD	Fall 2022	Accepted		International			
IBS, University Of Kentucky	Integrated Biomedical Science	PhD	Fall 2022	Interview		American			
Augusta University	Biomedical Science	PhD	Fall 2022	Interview		American			
University Of Utah	Atmospheric Sciences	Masters	Fall 2022	Accepted	3.8	American			
University Of Rochester	Biostatistics	PhD	Fall 2022	Interview		International			
Carnegie Mellon University	Machine Learning	Masters	Fall 2022	Rejected	3.97	American	2.5	161.0	168.0
Cornell University	Communication	PhD	Fall 2022	Rejected		American			
California Institute Of Technology	Applied Physics	PhD	Fall 2022	Interview		International			
Duke University	Political Science	PhD	Fall 2022	Accepted	3.83	American	5.0	168.0	165.0
Iona College	Communication Sciences And Disorders	Masters	Fall 2022	Accepted	3.64	American			
Carnegie Mellon University	Computer Science	Masters	Fall 2022	Wait listed	4.0	American	4.0	166.0	170.0
University Of Maryland Baltimore County	Human Services Psychology	PhD	Fall 2022	Rejected		American			
University Of Massachusetts, Amherst	English	PhD	Fall 2022	Rejected	4.0	American			
University Of California, Santa Barbara	East Asian Languages And Cultural Studies	PhD	Fall 2022	Rejected	3.73	International			
University Of California, Santa Barbara	East Asian Languages And Cultures	PhD	Fall 2022	Rejected		International			
Indiana University Bloomington	English	PhD	Fall 2022	Rejected	4.0	American			
Michigan State University	History	PhD	Fall 2022	Accepted		American			
Michigan State University	History	PhD	Fall 2022	Accepted		International			
Carnegie Mellon University	Machine Learning	Masters	Fall 2022	Wait listed	3.96	International	4.0	163.0	170.0
Catholic University Of America	English	PhD	Fall 2022	Accepted	3.94	American			
Carnegie Mellon University	Computer Science	Masters	Fall 2022	Rejected	4.0	International	99.99	153.0	322.0
University Of Chicago	Political Science	PhD	Fall 2022	Rejected	3.8	International			155.0
Massachusetts Institute Of Technology	Chemistry	PhD	Fall 2022	Rejected		American			
Carnegie Mellon University	Computer Science (ML)	Masters	Fall 2022	Wait listed	3.7	American			170.0
Cornell University	Communication	PhD	Fall 2022	Rejected		American			
Stanford University	History	PhD	Fall 2022	Accepted	3.9	American			
Columbia University	African History	PhD	Fall 2021	Interview		International			
NC State University (NCSU)	Operations Research	PhD	Fall 2022	Accepted		International			
Yale University	History	PhD	Fall 2022	Interview	3.9	American			
Indiana University Bloomington	English	PhD	Fall 2022	Wait listed	4.0	American			
University Of California, Santa Barbara	Communication	PhD	Fall 2022	Accepted		American			
California State University Long Beach	Speech Language Pathology	Masters	Fall 2022	Rejected		American			
